256 512
129 177 3
60 194 10
171 252 4
5 29 5
1 48 3
42 78 6
30 67 4
131 237 2
160 236 10
27 183 3
42 123 3
33 185 6
34 154 9
23 193 3
153 168 0
125 192 10
164 241 9
76 236 7
229 255 0
25 163 7
84 199 9
5 176 0
19 49 5
180 223 6
22 132 0
22 40 2
76 96 4
66 133 2
28 117 10
89 240 4
220 232 3
104 167 4
117 133 8
38 99 4
111 254 7
124 218 0
64 231 8
122 246 10
72 198 1
28 106 8
92 201 8
49 83 4
43 147 1
76 245 8
13 232 2
28 126 7
24 136 9
210 246 4
43 241 6
40 71 6
112 228 3
50 237 5
97 175 5
1 45 2
23 60 2
63 143 8
41 100 3
37 200 6
47 233 1
41 128 10
27 136 7
20 235 4
52 84 6
49 233 8
145 148 5
47 119 6
58 76 5
83 191 0
212 213 4
50 58 1
102 116 6
150 249 10
75 126 8
83 102 2
77 162 9
217 252 1
101 201 9
208 211 9
134 175 0
56 212 0
134 242 9
106 140 5
70 81 0
139 205 4
159 170 7
32 231 3
12 109 0
55 166 5
41 212 0
21 31 2
154 165 3
100 213 6
75 148 7
105 107 9
119 172 4
205 210 10
145 187 0
43 48 9
139 192 6
158 233 6
1 38 0
53 244 1
154 239 9
120 234 2
89 157 10
48 131 8
216 229 6
0 137 2
27 155 9
180 226 0
17 88 1
69 74 6
165 198 9
15 143 9
7 199 6
39 116 10
44 155 3
9 252 2
3 176 9
103 224 9
76 248 5
43 121 10
159 182 8
170 181 4
24 197 4
39 124 2
55 136 1
40 239 10
148 175 4
114 121 6
74 84 7
27 190 3
24 131 9
67 77 7
54 99 0
113 117 5
3 96 4
55 108 6
223 243 8
139 239 2
26 94 10
33 56 3
56 178 0
26 167 2
86 90 8
1 146 2
67 110 9
42 153 10
28 251 6
32 55 2
101 112 6
71 246 2
143 149 1
177 251 1
125 163 4
77 204 3
38 132 8
162 195 1
177 254 0
26 112 4
13 101 8
224 246 6
105 228 6
51 182 9
50 108 2
165 216 1
77 94 10
5 191 6
118 169 10
10 223 7
73 101 9
19 108 3
102 154 6
4 127 4
65 178 4
55 178 0
181 225 1
71 139 7
84 202 0
81 171 1
183 220 0
121 178 1
35 61 8
125 170 7
91 94 10
41 112 2
0 253 4
121 229 3
109 210 10
218 242 8
97 200 2
86 125 3
8 178 10
23 115 2
6 247 8
52 235 3
13 203 6
33 182 8
92 236 6
166 199 4
46 125 0
31 36 1
61 148 0
3 155 9
71 132 4
46 82 6
64 139 5
161 248 0
102 176 6
138 234 2
62 145 8
193 243 8
71 236 1
148 190 9
56 64 3
42 64 7
85 126 6
144 149 9
36 93 0
106 246 10
94 156 3
140 193 0
27 141 4
69 249 6
132 251 7
1 237 4
62 188 4
8 76 1
19 22 4
36 73 9
101 136 6
13 52 1
132 158 8
9 166 9
13 44 9
144 210 2
174 192 6
110 169 0
64 249 6
187 215 3
