256 256
47 92 4
127 242 3
18 141 1
162 208 8
116 123 5
1 197 9
164 179 0
23 198 1
34 65 0
84 212 1
114 212 10
26 122 5
32 178 10
51 89 0
171 177 6
118 174 2
40 112 10
22 110 0
61 136 4
9 227 2
147 221 7
11 63 4
153 188 7
150 170 5
139 165 7
93 115 7
46 210 4
164 165 9
174 196 9
220 222 5
11 162 1
229 243 6
77 188 10
228 253 10
89 235 3
6 72 3
4 64 10
213 231 6
168 225 6
62 200 6
16 134 7
102 189 0
98 157 0
128 235 7
5 11 10
125 200 0
78 178 10
156 230 5
31 156 2
28 155 9
45 52 0
124 134 7
78 98 1
12 218 5
197 209 10
94 209 8
87 180 1
55 179 2
102 114 7
74 188 7
106 187 4
46 111 0
36 239 0
51 72 3
64 255 10
37 234 1
208 218 8
3 117 4
122 174 8
127 208 10
10 76 2
83 225 5
34 220 6
57 164 4
12 111 0
86 245 5
116 155 0
188 242 8
20 115 6
209 223 2
140 159 4
33 252 3
21 23 3
10 246 9
86 197 6
36 198 9
75 247 2
199 201 4
43 245 8
48 177 4
139 199 8
6 162 2
83 189 5
118 210 6
233 234 10
97 109 8
178 244 9
24 77 10
211 238 8
46 208 5
130 220 9
32 69 1
6 11 3
13 31 10
14 124 7
29 92 1
23 89 5
143 175 1
134 220 8
118 225 8
176 241 10
39 78 5
221 233 9
41 231 9
146 255 2
230 237 1
1 151 2
54 195 3
106 207 0
18 153 5
115 201 7
22 47 2
82 153 5
33 133 9
43 156 8
72 124 0
47 147 4
100 105 2
146 214 5
97 178 7
38 66 0
11 242 8
9 76 1
114 119 6
4 200 10
84 159 8
113 216 7
191 193 7
157 194 6
132 247 9
80 182 8
35 236 1
220 251 7
98 151 8
113 117 9
136 176 8
132 133 3
22 105 0
35 119 2
106 231 6
99 120 8
93 227 8
166 219 5
10 207 7
39 98 4
68 191 1
5 20 2
84 226 1
105 144 0
140 223 7
182 208 6
200 213 3
132 164 10
31 111 6
45 64 4
34 158 9
67 117 4
42 53 6
216 253 7
163 236 1
14 89 7
101 139 10
0 52 1
40 254 0
41 125 4
4 168 7
28 238 10
27 253 7
99 222 7
108 187 5
54 186 6
17 186 8
81 98 2
20 86 5
85 106 4
96 155 7
87 240 7
80 113 8
58 218 0
17 159 7
81 93 5
26 47 3
71 194 6
48 55 5
178 253 4
112 161 0
193 229 6
191 235 10
131 195 10
86 113 8
132 210 5
125 189 8
11 124 6
191 223 1
96 99 6
92 204 1
27 75 4
78 106 6
163 215 10
2 108 9
56 171 4
99 201 1
9 186 9
87 233 3
170 203 6
162 195 4
1 201 6
66 91 6
24 163 6
34 144 5
176 218 8
18 89 7
45 57 4
187 225 10
44 152 5
114 116 6
131 182 1
32 210 7
7 134 4
121 194 2
130 132 6
12 39 7
60 73 9
19 207 1
168 221 9
9 211 9
50 175 1
111 161 1
8 26 0
86 247 5
132 218 8
77 173 0
89 224 10
21 218 4
17 18 5
29 62 4
44 254 7
245 253 6
211 253 3
177 201 9
38 157 8
86 205 6
131 255 2
111 197 5
124 146 3
135 164 1
