128 128
103 116 6
35 115 8
73 87 0
14 79 1
10 35 6
67 94 3
59 81 10
12 38 5
112 125 6
84 111 0
10 37 3
73 82 8
61 66 2
13 70 1
51 62 5
2 38 3
2 46 10
43 73 3
23 54 9
53 59 3
44 78 8
30 113 7
66 72 4
49 105 8
107 127 10
45 63 8
47 65 7
49 56 0
17 79 3
96 105 10
19 53 10
13 33 1
33 62 0
29 78 7
9 113 9
44 125 6
70 118 0
5 70 3
46 119 2
99 116 9
2 73 0
10 14 6
49 114 8
25 39 3
15 72 2
91 103 1
46 51 0
10 105 6
35 53 5
35 121 3
35 80 5
41 115 8
31 37 2
22 107 8
82 120 8
29 32 4
2 49 5
35 64 10
40 116 0
29 90 4
6 67 9
93 95 7
9 20 2
51 100 8
48 100 8
66 86 7
72 119 4
0 115 1
4 123 1
35 72 8
73 96 10
14 118 10
44 45 3
16 43 7
20 108 3
44 60 1
43 124 1
30 52 6
25 104 4
27 55 2
27 42 7
66 102 7
25 86 5
82 99 2
9 76 8
24 115 6
13 21 2
8 78 5
28 70 8
64 105 4
3 43 1
3 91 4
60 83 4
6 112 0
16 39 9
14 109 0
8 90 3
18 25 10
72 95 10
54 94 3
1 56 1
101 112 7
26 61 10
19 25 2
14 57 8
56 68 8
15 62 4
6 30 10
40 95 1
17 77 7
77 105 2
105 108 8
23 105 4
31 51 2
8 106 10
22 77 8
46 71 3
57 79 6
98 113 8
88 114 7
34 69 0
71 101 8
81 90 8
17 94 7
88 119 8
58 127 6
48 119 6
83 90 8
