256 128
12 80 0
114 166 0
18 148 0
4 224 5
89 91 0
225 238 6
67 238 2
43 212 6
126 146 8
159 195 4
251 252 4
49 255 0
22 182 4
74 215 3
110 246 4
13 28 4
148 208 8
139 253 8
63 222 7
1 195 5
56 145 5
72 102 3
156 178 10
119 146 2
216 251 3
34 218 0
51 248 7
78 224 5
27 152 8
170 171 8
160 200 1
150 244 1
20 149 7
76 227 2
64 158 7
61 113 9
46 223 2
104 112 7
13 66 1
27 251 4
209 234 0
74 122 9
214 253 3
39 223 10
61 71 6
96 255 4
8 52 8
137 210 7
93 195 4
79 209 9
139 233 10
93 157 7
10 28 1
162 165 8
49 91 7
152 189 6
62 83 9
158 224 8
180 209 10
29 159 3
105 148 3
55 213 4
58 144 0
5 115 2
65 119 7
106 183 6
4 20 7
57 183 4
11 167 10
6 128 4
68 106 3
149 156 2
179 241 0
33 107 8
19 156 2
3 33 6
75 100 4
16 193 8
163 214 4
181 232 0
0 125 2
60 186 7
205 243 3
107 152 0
100 119 7
78 248 0
4 207 5
140 155 3
77 125 9
96 139 6
7 250 1
187 249 4
53 96 8
49 67 6
148 191 7
181 228 4
156 246 8
2 106 3
130 181 2
21 169 6
111 149 2
224 234 9
182 242 5
103 186 8
148 183 1
58 129 7
146 236 4
13 177 10
218 244 10
227 248 1
43 107 6
59 253 5
61 216 1
105 140 10
15 197 1
131 220 2
57 234 1
140 193 1
205 241 0
28 111 5
100 160 4
76 195 10
203 216 0
79 142 10
37 134 5
54 87 0
16 83 5
146 149 4
