512 256
336 375 2
391 498 10
55 497 4
148 413 4
227 318 4
265 315 2
172 374 10
277 484 5
136 144 3
295 433 6
56 359 8
17 322 9
247 428 5
150 373 7
27 40 7
61 215 10
253 390 9
24 155 4
67 261 8
345 446 1
32 451 2
20 121 4
95 469 5
28 179 2
35 70 2
19 295 9
462 464 5
284 324 10
313 497 4
227 457 9
397 399 1
151 226 9
284 499 3
287 474 8
167 309 4
6 497 7
77 144 3
179 221 1
52 162 4
122 212 7
186 324 9
131 462 5
223 331 10
224 318 7
166 188 4
260 420 9
5 440 1
494 499 8
113 212 9
227 397 6
10 455 1
204 357 7
396 444 7
151 283 0
106 266 7
32 481 0
121 480 2
243 400 8
102 486 1
90 445 0
7 57 0
167 317 3
44 80 3
242 460 10
102 275 9
49 185 2
317 388 8
411 495 0
173 429 0
410 456 6
299 507 2
147 460 4
96 217 6
16 133 6
424 454 1
27 243 4
51 389 7
253 273 0
170 422 7
197 293 10
65 330 9
5 490 1
327 438 5
68 360 9
94 187 7
193 464 6
26 430 0
381 421 3
250 408 3
332 471 4
169 282 1
68 173 9
70 352 8
221 279 9
168 350 0
215 327 0
226 484 0
68 314 0
91 189 3
123 152 5
24 392 5
433 497 7
51 246 4
262 503 5
123 398 6
152 472 7
217 379 2
44 367 4
151 232 0
106 377 7
150 450 10
44 454 10
146 196 8
448 484 6
386 460 3
216 334 3
145 284 2
347 451 10
266 424 7
264 431 3
2 25 10
73 300 3
229 349 10
110 304 5
409 417 10
181 324 6
361 398 4
218 248 4
186 388 8
92 261 0
11 127 6
98 419 0
387 453 7
238 419 6
176 502 3
212 267 4
356 458 4
27 58 9
214 263 9
362 422 3
163 396 7
178 494 3
415 511 8
105 169 0
30 436 2
189 309 7
207 391 8
206 503 6
387 420 3
210 446 0
149 439 5
75 388 10
34 498 2
272 359 5
39 484 10
46 124 4
425 508 8
242 300 7
354 484 3
289 428 7
74 401 3
212 321 3
27 177 5
151 168 5
89 283 5
272 276 2
54 364 5
39 446 3
190 420 5
308 370 7
253 422 7
82 202 3
42 135 9
121 453 5
3 370 7
105 478 3
170 279 0
53 280 10
418 475 0
440 468 7
309 358 4
343 471 2
12 275 1
253 483 4
144 380 0
33 476 2
4 72 7
427 444 8
201 425 0
339 396 5
275 455 8
190 251 7
436 447 5
265 297 0
95 272 3
144 229 2
261 452 0
87 296 1
135 288 2
285 427 10
150 170 7
377 477 0
100 391 7
1 305 0
336 477 3
71 178 6
30 311 7
236 311 5
52 167 7
71 378 5
207 468 7
156 406 3
163 253 2
112 285 4
120 291 10
264 501 2
13 188 10
292 294 0
16 36 10
70 224 7
301 415 10
115 237 1
12 67 1
28 223 0
25 37 5
96 109 1
293 445 9
294 475 0
97 122 10
84 98 2
179 219 0
209 457 4
292 348 10
365 473 5
34 312 1
143 463 1
261 426 0
233 275 0
10 198 7
99 102 4
49 173 3
64 147 9
13 129 2
144 417 0
65 299 10
403 459 2
46 58 4
83 422 3
113 429 2
17 443 9
92 234 8
204 272 10
20 478 8
246 247 6
161 320 1
65 341 4
