1024 1024
419 459 0
544 685 9
490 589 8
496 913 9
304 808 0
154 703 4
309 692 2
482 987 4
99 956 2
227 1000 0
134 925 0
46 261 9
198 450 10
7 872 6
48 366 0
583 617 4
418 532 0
386 807 0
575 577 5
444 532 1
502 810 1
370 470 4
254 976 2
313 729 4
408 958 3
467 532 10
177 254 3
430 570 10
683 854 9
375 707 7
426 780 7
752 832 1
237 462 10
492 844 8
181 859 6
329 755 0
428 839 7
811 901 2
155 481 9
261 938 4
361 555 7
64 697 7
177 243 0
565 884 9
785 1004 8
59 996 6
814 913 0
150 541 2
218 743 7
727 762 8
350 901 10
674 1007 2
134 702 10
564 899 9
63 743 8
538 731 0
452 849 4
169 399 4
246 795 1
420 884 0
37 960 8
422 925 7
249 615 9
513 998 10
10 566 4
24 613 7
316 575 7
48 79 9
47 427 10
440 709 6
725 739 3
172 1012 3
100 1000 1
551 892 3
836 891 3
448 660 8
489 683 1
362 811 0
0 164 10
150 305 5
65 978 9
747 839 2
419 642 10
318 870 8
249 788 9
330 989 9
271 400 7
843 994 4
799 811 0
163 204 2
466 782 8
153 1003 7
71 948 4
239 523 6
51 175 8
833 889 0
646 669 4
1 693 6
322 464 0
225 480 2
334 1020 5
175 799 4
722 800 2
51 554 0
284 826 4
449 898 3
280 633 6
190 883 7
203 606 7
367 393 3
558 831 1
47 173 3
503 698 6
618 990 3
318 900 2
651 698 0
580 764 4
44 1011 0
24 391 9
349 750 2
554 773 9
421 469 5
375 411 2
105 412 7
278 931 5
124 724 6
466 678 10
584 699 3
417 895 8
322 622 10
380 816 8
448 506 9
65 833 1
313 330 10
85 674 9
423 435 6
601 609 7
111 425 7
595 942 6
781 991 6
863 916 9
594 796 9
265 471 10
422 981 6
56 540 4
689 997 5
968 971 8
630 775 9
173 636 8
18 818 3
332 891 7
753 790 3
848 984 3
551 747 10
105 765 5
284 989 7
91 205 3
20 159 6
69 691 10
87 960 0
136 448 8
301 582 9
409 716 1
662 792 10
594 830 7
107 500 6
152 498 3
345 877 2
671 975 6
206 515 1
819 871 6
728 734 0
482 766 8
74 449 8
523 544 9
430 892 3
35 53 8
446 979 8
480 674 9
339 889 6
215 668 10
357 649 0
81 188 0
224 576 2
643 881 7
512 742 7
72 863 8
19 1003 7
757 809 1
355 399 2
502 629 9
104 875 0
215 688 6
414 632 8
446 701 0
359 635 1
147 667 1
163 724 1
197 901 0
270 533 0
423 671 1
121 621 3
7 770 4
381 887 8
200 392 10
168 757 7
162 671 10
318 865 5
84 322 7
153 733 0
712 910 3
371 600 9
690 761 1
85 927 8
268 542 5
802 805 5
421 592 2
530 866 6
32 937 6
723 752 6
408 908 7
25 827 6
379 403 7
764 777 4
330 537 10
154 702 10
536 1016 4
48 752 3
46 503 5
588 836 3
396 811 8
454 467 0
15 284 4
466 997 2
220 320 9
532 699 5
211 426 4
70 267 4
189 459 10
17 698 0
448 647 0
353 892 1
135 975 1
25 567 0
667 823 3
820 823 0
30 151 2
140 405 5
440 670 9
20 669 0
916 940 10
70 352 0
453 683 1
75 471 0
159 643 5
20 978 8
674 927 2
578 918 0
313 960 5
361 974 8
326 549 9
22 524 10
30 900 0
256 422 5
26 844 0
51 835 7
653 808 6
877 1016 1
98 761 7
68 170 7
613 738 2
124 127 6
163 608 0
524 715 1
118 975 1
159 395 2
545 626 9
158 704 1
104 311 8
