1024 512
338 789 10
19 476 0
9 1021 8
632 882 1
32 768 6
737 777 5
10 659 6
263 366 2
589 988 7
345 1019 9
172 650 3
525 954 2
369 713 1
102 501 7
273 732 6
44 259 10
338 664 6
282 748 6
162 609 5
109 576 8
230 393 1
640 992 5
331 506 7
119 339 7
559 561 2
384 444 10
69 671 3
154 759 7
35 128 4
374 483 6
686 978 0
624 950 3
331 954 6
31 163 0
419 692 8
178 409 2
19 356 0
520 943 8
595 691 0
101 625 4
505 907 1
652 883 2
278 714 4
52 201 2
41 502 4
98 811 10
85 555 3
282 941 5
146 807 6
215 600 2
596 912 8
97 744 9
48 996 0
644 1018 8
344 963 2
102 770 4
463 642 1
179 925 9
327 991 1
193 522 0
352 417 5
342 423 4
283 537 3
473 981 7
63 904 5
899 930 6
291 816 5
171 611 5
23 930 8
643 923 4
153 580 1
482 900 3
37 686 0
239 622 5
223 396 2
89 664 5
76 286 2
68 959 3
18 648 10
279 387 1
124 652 0
124 952 1
353 867 6
817 1000 5
723 902 9
406 938 5
376 663 10
255 837 0
203 370 9
321 460 8
136 528 9
726 868 8
65 375 1
375 693 5
393 476 2
78 938 5
454 459 2
486 533 2
320 358 5
730 884 8
7 237 10
224 485 3
76 933 6
157 837 7
274 417 1
126 767 5
747 967 10
404 562 6
763 928 10
311 448 9
672 987 7
5 706 2
683 697 0
517 581 7
254 978 3
443 868 2
511 970 7
504 882 7
534 928 6
298 386 6
238 810 5
368 681 5
2 237 1
7 44 0
797 930 6
230 594 2
555 720 4
16 98 0
39 694 10
825 929 1
97 484 10
120 440 3
28 142 2
76 491 7
174 714 9
467 754 7
530 844 2
54 881 0
16 863 2
697 850 1
625 693 6
600 991 5
534 864 2
13 794 0
899 973 5
464 484 5
28 952 7
338 758 4
113 379 2
121 908 5
431 968 3
474 902 3
162 764 2
74 235 4
168 884 8
509 644 9
225 535 3
139 567 8
179 244 5
414 714 5
559 1005 10
246 719 6
389 627 4
433 511 9
309 890 3
26 454 1
474 603 0
405 845 10
143 638 9
140 921 4
162 247 5
144 273 8
774 921 5
458 541 10
558 652 2
446 993 2
281 874 7
228 624 8
53 994 1
57 567 6
134 954 10
79 163 0
672 996 5
568 703 3
7 451 10
553 870 3
456 754 0
426 727 4
212 952 2
423 452 6
164 1009 7
11 328 6
267 533 6
49 556 7
433 1004 2
120 526 1
363 1000 4
483 794 3
844 1000 0
569 810 3
234 470 8
29 762 7
127 920 1
623 806 2
258 886 4
455 677 1
866 1002 2
93 211 6
584 791 1
45 451 1
258 826 6
116 800 6
47 597 3
481 988 9
249 992 8
372 971 6
213 749 0
314 655 9
531 621 2
306 427 1
364 939 0
130 506 2
846 858 9
336 610 9
70 536 2
115 401 5
125 688 2
525 760 5
696 1000 5
697 961 1
147 910 7
291 406 0
506 739 5
504 789 4
134 717 9
201 706 0
141 397 4
66 535 2
715 895 4
260 727 8
646 1006 4
209 900 10
953 1001 3
5 56 6
575 675 6
473 655 4
510 672 1
64 171 1
524 986 10
2 200 1
558 614 1
129 791 5
429 671 3
286 806 6
280 896 3
255 379 1
650 701 8
547 787 9
879 902 10
96 174 5
335 400 0
320 778 5
83 619 7
190 699 8
273 841 8
340 751 9
247 727 7
22 346 0
117 368 10
468 494 5
273 935 5
479 604 7
885 1002 7
430 696 0
384 735 3
624 774 1
386 394 1
396 685 4
137 720 3
861 1002 6
315 963 4
376 455 1
68 939 9
647 835 3
543 892 0
567 815 2
788 879 3
464 811 1
71 286 6
617 792 6
415 655 3
300 862 5
226 643 7
163 574 9
93 983 10
387 565 2
787 851 4
146 760 1
235 318 10
662 892 3
471 649 2
124 149 4
960 1000 7
478 968 0
334 790 5
384 439 5
117 482 8
552 889 10
208 622 6
618 657 8
522 916 2
101 705 8
191 570 5
203 476 6
330 344 10
424 731 3
537 590 6
234 666 0
279 577 6
223 710 0
394 639 0
474 525 9
603 660 5
389 808 9
598 811 9
548 863 3
276 584 1
599 755 9
692 763 3
521 906 2
376 975 10
21 147 4
701 728 2
8 232 5
140 809 9
538 740 1
83 212 8
0 536 10
327 645 9
495 995 9
290 904 7
443 737 6
358 718 7
339 362 0
478 845 4
68 629 5
331 624 5
41 647 3
648 960 3
34 667 10
353 484 1
386 495 1
48 680 9
616 837 5
480 627 6
808 910 8
62 964 8
243 755 7
250 403 0
586 694 8
76 581 5
904 1014 8
22 879 3
846 848 2
58 745 0
398 831 4
58 555 2
239 426 2
232 866 7
120 204 8
564 990 9
848 915 10
664 918 8
710 975 1
597 951 9
171 672 9
418 482 4
494 659 7
333 673 5
780 996 3
62 685 3
62 307 9
259 307 10
341 933 0
68 425 1
245 853 5
772 928 3
220 717 1
292 391 6
543 758 7
138 298 10
296 765 7
11 650 2
693 694 2
734 908 7
493 877 10
21 157 8
493 955 9
374 629 4
141 524 8
477 1019 6
427 772 9
15 583 10
295 771 6
521 534 6
95 252 5
509 699 1
480 576 3
493 1011 5
303 678 8
392 988 7
508 696 7
335 916 7
195 604 5
536 992 7
92 696 2
147 869 2
232 882 3
554 749 0
34 174 5
265 684 3
120 498 6
328 853 0
134 324 2
227 429 5
478 720 0
65 595 4
476 866 0
567 802 1
108 746 4
883 911 8
45 667 3
249 823 7
214 867 2
422 760 4
553 656 3
144 913 3
301 364 8
411 572 0
192 467 2
852 896 7
126 299 0
474 475 1
87 801 10
27 96 0
415 842 1
598 994 2
530 963 8
280 941 6
918 927 3
109 684 0
389 417 1
432 968 7
710 926 10
791 917 2
187 694 7
188 778 2
494 516 0
186 729 4
402 713 4
368 908 5
9 635 6
135 375 5
617 861 10
782 955 6
461 886 6
35 752 1
566 632 7
701 1000 2
265 976 7
346 713 1
746 827 9
596 1003 0
300 506 6
36 853 8
562 993 8
124 458 9
854 964 4
874 887 2
255 985 4
528 799 6
428 1019 6
47 745 2
9 189 4
26 688 5
302 516 9
612 1008 9
360 979 4
440 847 1
539 648 4
226 557 4
129 962 3
324 741 6
690 797 5
312 519 7
256 494 6
350 619 7
42 891 8
424 797 2
47 591 7
166 778 3
121 587 3
506 556 1
111 953 6
110 947 2
707 772 2
383 646 3
184 196 6
73 604 0
510 623 10
137 555 7
459 781 9
