512 261632
60 39 197
63 499 149
39 4 202
259 203 81
423 455 148
233 51 50
480 147 48
263 134 134
47 37 285
365 433 116
199 507 183
150 142 251
310 318 98
310 128 219
321 126 149
511 372 236
456 12 72
46 402 108
152 108 117
338 183 239
290 179 115
71 254 186
303 511 239
183 123 65
115 238 87
17 338 236
371 8 100
202 389 55
474 494 21
176 43 299
80 32 43
348 445 247
432 311 6
372 175 261
280 411 33
412 411 283
18 403 105
452 400 35
424 471 257
198 291 180
48 45 112
246 365 52
203 272 178
370 319 259
339 132 237
394 316 240
266 4 54
313 354 193
147 505 243
229 133 145
503 163 275
413 53 98
138 23 143
146 398 233
82 296 29
12 257 186
199 77 37
509 384 168
304 386 299
503 112 275
49 23 120
457 154 196
117 470 236
429 471 158
466 488 142
334 34 255
143 276 145
287 316 57
38 375 134
402 141 166
471 231 268
408 292 206
128 252 236
196 493 28
39 152 208
75 287 255
98 252 214
102 51 145
277 500 253
187 109 138
426 127 273
321 407 290
384 449 201
56 137 211
433 250 144
315 31 170
87 364 196
186 351 116
202 24 121
456 337 11
262 63 112
444 77 61
41 409 222
499 9 211
294 8 156
313 334 118
307 71 250
362 157 90
227 18 235
424 295 95
60 172 129
189 212 224
35 245 227
83 371 143
416 471 268
301 181 97
323 131 235
147 216 137
336 110 161
98 21 42
103 381 30
473 447 44
211 402 55
66 415 278
199 145 109
44 0 125
354 497 209
217 25 113
450 352 288
203 241 108
191 117 244
293 459 240
219 123 71
111 390 199
124 54 41
409 340 260
40 314 213
262 451 87
18 89 161
84 137 254
214 451 174
14 355 297
209 31 12
310 407 264
75 490 256
151 59 60
13 74 272
124 196 61
6 249 82
507 172 79
271 426 171
232 180 94
202 167 169
187 421 281
122 331 145
204 318 181
115 239 57
195 15 86
438 467 268
412 266 252
390 31 205
464 356 92
224 369 110
70 8 35
436 502 241
262 112 183
121 178 4
511 303 230
114 127 156
6 141 123
356 150 133
155 43 103
294 247 30
224 258 287
333 41 290
245 14 116
440 458 107
430 93 24
127 253 206
31 83 74
251 506 122
147 271 99
94 400 38
140 220 45
288 105 49
103 435 264
339 387 46
228 458 247
429 472 217
323 440 124
26 391 295
103 0 213
433 23 155
372 53 99
146 474 150
279 123 233
9 377 29
223 295 183
378 217 291
17 307 34
220 214 252
435 67 276
467 103 198
501 129 221
138 498 196
166 286 281
14 45 258
372 98 97
492 169 106
154 450 228
215 80 87
425 108 79
414 116 70
511 122 194
423 452 55
26 342 109
312 291 79
432 136 246
366 253 263
134 208 32
355 189 280
383 483 260
43 310 272
108 208 52
89 489 117
194 152 46
464 349 156
467 401 84
196 323 180
22 28 4
489 162 70
370 409 112
467 119 184
273 376 90
429 440 73
387 33 92
266 249 286
116 347 179
207 298 26
291 19 50
175 60 223
76 401 123
197 448 170
187 332 76
193 474 270
178 389 36
494 9 279
355 26 68
32 107 183
11 52 138
449 277 147
275 296 109
123 267 70
41 192 223
96 496 254
56 77 35
457 108 5
270 196 80
458 248 161
496 155 250
478 382 32
359 120 14
218 388 172
195 167 80
276 231 83
287 400 203
194 134 234
44 318 105
445 149 54
453 229 232
89 40 93
468 203 289
255 2 279
261 328 253
286 281 100
182 158 41
35 301 110
44 65 189
469 334 208
190 187 283
3 315 105
345 65 21
287 248 127
92 150 52
475 239 155
496 302 27
393 182 73
320 124 88
242 193 5
394 401 70
428 169 297
102 19 106
408 425 147
145 304 45
306 244 115
36 214 281
94 247 94
427 186 14
311 391 196
23 433 55
490 153 156
155 246 94
138 414 203
292 160 207
448 272 10
478 439 75
223 111 236
343 131 171
24 130 166
335 468 249
424 346 268
69 255 49
124 369 228
397 94 202
421 368 42
66 257 207
349 81 67
102 281 53
32 489 53
227 425 271
282 393 57
139 398 62
167 367 295
84 45 240
353 502 249
81 486 297
358 264 98
240 162 63
52 397 61
408 12 72
76 206 243
54 23 37
135 215 235
235 476 15
432 183 32
474 209 11
302 106 208
386 216 128
232 486 251
289 111 272
93 7 31
434 344 132
395 44 265
466 172 283
117 430 117
328 170 105
408 45 245
505 62 197
159 271 7
442 486 205
102 48 257
494 384 46
471 45 271
363 104 95
26 151 199
250 187 268
342 429 104
213 135 185
200 76 269
432 270 236
405 88 88
394 190 51
17 387 8
244 259 189
284 149 278
93 386 100
52 392 19
326 490 111
23 254 140
264 402 40
359 58 36
169 212 226
269 377 24
261 249 253
170 511 113
175 390 93
136 141 65
89 166 247
176 417 71
473 358 94
186 359 258
44 475 250
91 442 103
397 265 247
64 331 261
36 442 18
253 331 286
359 388 86
461 172 107
358 442 116
330 477 186
445 330 294
506 399 195
270 415 251
250 324 207
265 445 64
322 118 250
402 300 34
406 97 24
462 57 76
508 87 244
500 287 293
439 163 256
178 283 182
381 91 294
136 250 250
0 124 230
215 56 17
296 448 207
225 97 57
213 196 290
466 428 253
88 391 210
130 242 258
198 161 106
102 303 188
391 65 166
370 371 4
365 300 158
287 235 150
246 447 154
382 479 199
111 122 225
229 1 180
440 321 175
225 179 43
266 55 137
44 195 146
488 120 59
429 203 72
34 166 1
486 52 202
150 420 124
355 94 234
325 416 66
132 292 180
72 315 22
339 392 234
235 271 183
372 337 148
11 139 134
392 277 102
130 340 230
405 35 238
328 50 268
121 412 54
348 222 229
15 370 116
300 105 192
399 217 192
294 82 269
265 350 180
52 224 117
388 45 186
55 146 99
262 505 134
469 319 259
195 190 9
506 302 276
492 74 278
301 390 248
365 138 41
187 415 215
171 122 46
273 361 110
65 195 164
338 131 84
444 169 82
274 342 136
91 96 55
376 480 88
70 56 24
390 400 187
17 491 207
191 210 188
402 36 131
329 73 263
98 348 19
321 359 178
436 173 77
506 329 115
89 413 95
219 376 14
191 165 109
61 392 81
434 365 222
260 354 130
413 163 4
501 355 172
273 3 56
454 236 249
417 381 75
350 111 273
434 361 185
235 156 58
357 104 138
312 76 277
263 469 170
406 493 266
273 251 184
392 149 165
390 303 3
299 382 152
360 428 102
117 199 70
276 155 12
499 349 126
115 375 239
149 210 297
32 164 101
363 193 197
188 328 183
107 245 7
494 240 104
384 294 273
146 281 148
195 506 75
55 104 293
149 184 114
372 77 113
18 476 241
176 244 21
186 44 191
357 37 57
96 479 142
408 265 148
51 440 14
336 47 172
272 466 122
259 342 293
14 307 121
343 139 118
497 111 5
235 239 137
87 83 24
277 453 126
283 174 12
215 497 124
231 426 167
287 225 227
189 220 184
356 272 196
311 7 255
511 97 17
365 314 257
484 282 28
118 151 186
478 218 197
301 102 21
237 433 232
89 159 108
360 241 47
160 56 182
380 288 151
445 66 62
63 382 141
35 250 123
272 86 206
67 433 242
99 352 165
439 104 51
236 394 165
93 500 139
64 58 169
460 417 1
368 238 104
303 215 79
20 68 120
37 3 8
79 481 75
314 203 171
182 247 18
486 501 117
396 41 60
315 415 24
391 465 124
243 438 32
215 457 298
247 222 93
244 258 212
221 479 200
421 414 127
253 196 276
309 460 216
33 146 292
145 47 107
173 202 226
182 185 210
100 106 103
199 37 263
46 46 118
208 36 109
361 83 104
41 338 113
268 391 134
56 45 180
373 271 155
381 371 282
395 234 123
416 329 300
141 291 135
393 298 282
364 136 22
120 31 124
200 161 264
85 403 193
147 468 176
148 67 260
304 88 45
46 424 215
231 345 94
435 472 298
506 0 12
8 355 298
41 144 210
324 224 141
288 476 131
411 481 148
475 358 239
197 72 280
174 253 144
95 181 156
401 375 4
75 510 80
428 121 271
464 259 41
422 312 101
111 277 180
473 257 256
204 282 150
109 351 34
470 337 249
366 5 232
143 376 33
393 328 105
131 217 1
123 465 37
96 425 295
428 107 22
227 114 248
377 319 31
269 71 266
503 122 174
439 239 270
459 105 197
7 100 42
392 230 165
121 326 293
409 80 69
8 34 291
416 148 14
45 216 44
432 190 144
511 286 263
188 165 222
17 309 182
171 19 262
82 277 231
168 87 128
505 249 223
305 394 111
55 463 287
56 190 176
423 417 224
189 478 175
436 285 15
358 141 118
126 305 214
272 99 108
133 377 247
389 41 255
54 115 158
468 248 34
381 325 232
38 477 219
308 81 237
401 232 139
472 165 5
507 162 86
257 351 226
200 257 124
309 29 87
267 145 257
49 265 104
216 397 277
49 421 245
208 314 249
176 460 146
184 65 117
214 402 148
77 285 183
281 109 107
457 327 162
173 122 211
172 53 230
328 507 209
495 353 93
89 332 297
385 258 107
288 123 106
492 407 61
254 309 15
107 327 98
288 34 28
45 37 47
190 458 229
154 181 291
362 402 193
251 372 69
145 362 152
17 194 181
299 473 262
101 400 112
139 353 297
168 340 166
425 226 114
308 63 61
271 3 214
219 306 172
148 285 125
249 123 103
337 338 158
311 346 251
428 337 32
463 332 208
39 82 37
405 445 212
41 183 187
394 167 165
292 480 30
371 285 127
408 65 261
251 403 216
349 8 276
307 475 161
14 422 107
60 382 61
473 326 27
470 392 289
454 492 140
273 228 265
75 258 132
175 324 237
310 150 98
68 258 272
138 14 21
100 145 40
131 507 170
169 320 281
460 137 106
230 137 64
84 265 135
61 232 121
65 5 109
495 511 178
430 0 36
304 353 288
445 219 165
305 112 218
