256 652
4 223 166
172 239 279
210 232 18
20 17 103
43 229 15
69 205 77
152 242 265
88 122 292
116 200 61
2 50 255
193 151 85
122 100 258
56 116 184
120 165 200
242 103 235
98 130 246
201 4 110
243 29 4
222 241 278
185 92 108
115 35 113
232 47 144
15 103 59
4 211 283
200 158 109
100 252 123
253 164 115
122 77 274
91 118 133
106 97 107
236 61 27
215 95 36
61 241 233
197 254 92
138 121 152
202 171 88
215 202 89
175 213 77
17 120 182
202 11 99
25 162 204
227 144 180
43 38 219
139 157 108
214 39 195
187 94 213
217 196 118
205 215 79
241 167 129
12 178 50
217 26 222
214 151 86
38 64 155
200 18 59
49 162 105
179 51 273
10 172 78
86 173 169
249 213 140
21 9 216
161 116 266
157 48 237
40 64 192
150 217 231
127 18 183
21 107 191
100 217 268
4 71 162
110 193 134
38 33 108
242 235 99
11 78 287
81 86 177
142 244 109
218 33 227
49 8 114
22 76 192
111 161 210
0 58 124
128 138 108
43 150 41
146 29 33
36 245 198
232 29 31
132 18 47
108 191 176
124 143 280
27 51 1
151 112 279
1 99 2
200 43 197
228 129 9
198 5 107
173 193 145
133 201 34
83 153 124
13 57 135
120 32 96
39 91 103
90 60 209
76 193 80
225 103 172
111 221 228
138 126 59
239 30 204
4 246 208
190 34 108
69 89 168
237 137 25
23 9 140
138 171 180
155 204 231
220 87 108
119 34 83
87 120 122
20 161 247
136 50 258
14 30 190
1 211 229
121 106 121
22 45 103
9 202 53
21 59 281
19 216 215
78 21 150
47 145 32
233 67 104
108 155 62
204 12 222
23 237 63
134 64 68
33 211 173
9 224 154
192 225 142
177 26 56
177 137 252
18 104 284
100 134 72
42 227 126
83 239 201
141 180 100
140 157 239
255 228 7
159 31 179
22 177 85
172 236 274
93 185 10
103 85 154
136 151 290
149 47 79
55 134 16
130 181 82
219 239 146
145 241 60
2 247 297
225 186 91
96 182 229
170 2 77
3 11 163
200 171 293
18 34 255
167 103 124
241 99 107
202 105 186
147 157 119
75 61 5
133 63 53
28 196 5
50 214 138
5 243 89
212 1 18
25 235 75
38 209 110
39 33 210
57 87 49
62 196 161
3 157 114
6 218 57
2 46 215
179 205 284
62 244 116
115 193 160
249 18 117
135 190 86
194 157 165
240 104 91
150 235 63
4 222 137
176 172 262
155 142 57
54 111 87
16 98 106
5 122 195
214 252 103
63 243 268
11 119 196
146 65 113
76 116 110
18 195 85
136 178 275
45 61 157
156 132 300
18 144 19
170 137 76
94 2 216
120 142 170
181 43 98
197 161 147
165 18 227
22 51 204
15 166 268
225 135 173
231 249 260
219 183 124
78 59 55
13 95 4
192 208 215
42 174 16
24 24 225
115 148 148
213 165 87
175 251 56
176 169 84
40 83 300
35 132 277
105 170 197
165 151 48
76 242 3
154 218 258
137 236 21
9 237 21
249 85 93
195 47 18
240 21 291
190 27 153
188 58 153
234 244 289
236 86 11
197 24 30
153 22 113
114 59 241
105 62 271
125 142 290
85 144 296
224 227 42
220 117 24
109 224 179
96 71 89
186 235 273
186 97 193
226 231 299
14 207 50
142 176 94
191 252 181
21 120 42
142 228 92
85 95 90
132 227 141
122 157 114
218 153 86
152 64 136
23 124 138
224 45 160
148 152 147
19 138 140
155 64 196
76 114 36
147 255 254
212 51 36
248 208 72
30 141 100
75 64 110
74 148 176
186 80 218
54 224 235
209 200 179
85 226 266
210 218 276
129 219 177
146 128 180
2 250 219
44 188 192
34 192 31
181 47 178
100 100 177
8 211 125
81 188 248
0 100 193
30 180 229
162 16 50
86 156 222
87 149 207
25 186 42
210 202 256
135 112 52
168 63 234
142 134 288
85 142 166
152 225 137
21 134 12
230 5 203
63 107 286
77 165 50
190 53 90
68 102 159
141 51 293
227 94 117
94 79 176
110 209 25
187 84 256
179 156 29
115 57 190
27 217 24
253 221 7
11 184 107
54 143 211
67 54 46
30 108 48
16 157 67
6 196 140
105 185 47
180 78 22
249 30 281
255 8 140
207 176 132
100 120 228
26 216 11
119 247 286
228 206 193
77 44 21
225 60 159
134 130 173
195 43 68
51 15 276
138 104 182
227 168 78
210 45 231
184 132 129
83 130 123
185 141 21
149 204 161
223 151 231
239 226 18
4 105 182
52 28 173
77 79 25
249 225 150
177 145 191
109 146 140
29 111 290
80 202 75
194 136 232
109 212 55
245 194 281
134 188 266
32 242 38
225 248 13
124 180 209
34 99 110
41 231 289
101 30 256
21 180 249
111 79 174
97 209 285
36 29 277
185 63 43
110 220 300
139 133 281
195 97 231
91 109 93
236 174 238
198 89 220
48 13 163
99 97 10
241 49 106
214 191 96
213 64 173
220 101 110
4 176 232
210 172 168
102 29 126
153 201 150
147 55 299
159 111 17
34 106 42
228 36 125
145 63 261
100 0 121
136 54 291
141 157 20
200 0 96
127 96 5
103 223 225
146 117 86
117 32 235
223 212 270
193 61 297
64 110 131
7 93 6
204 247 143
158 36 15
195 88 65
176 24 136
138 200 202
123 173 95
41 221 256
8 104 223
224 101 141
76 152 53
216 216 235
134 13 230
120 61 91
59 177 114
199 49 60
58 247 289
82 61 212
222 82 56
240 234 127
124 54 262
91 180 242
111 204 229
189 3 129
145 146 239
175 20 142
20 83 51
128 199 168
155 158 176
156 145 55
99 122 292
224 17 148
207 204 214
129 105 257
202 83 165
183 249 209
85 244 111
37 22 87
216 176 106
155 28 198
40 8 230
81 19 200
81 143 64
239 51 162
17 109 23
66 24 137
185 138 155
103 41 126
119 148 7
172 69 292
126 99 284
78 161 232
162 148 14
203 113 43
98 232 27
101 252 155
26 91 9
254 100 222
67 187 266
253 236 140
192 28 212
228 22 88
158 236 225
236 234 265
3 251 297
83 236 151
38 132 94
187 79 277
233 89 131
88 54 23
51 230 110
201 47 156
177 175 287
204 242 105
98 155 139
57 128 57
84 157 59
122 21 152
13 51 249
233 236 98
108 127 78
205 24 69
174 182 190
124 237 87
221 192 44
64 239 25
192 32 233
175 212 3
86 91 275
143 58 68
185 9 47
167 241 233
100 55 148
39 152 264
182 228 178
140 9 107
222 250 139
229 151 31
95 94 261
184 8 153
139 102 278
8 127 86
232 41 65
108 77 225
128 49 153
161 213 113
90 137 81
102 200 67
117 154 11
235 42 253
77 150 139
80 230 64
222 9 250
28 241 160
203 4 15
244 177 12
207 170 240
109 129 163
60 38 43
216 219 1
200 20 293
222 251 157
114 149 238
196 37 174
80 142 22
13 216 5
38 240 218
200 8 197
48 158 288
138 85 232
183 220 111
145 204 130
182 33 178
74 249 196
187 104 101
63 157 222
185 240 277
122 59 64
189 127 255
190 212 296
92 15 274
27 117 111
101 212 27
79 23 134
16 104 154
157 70 21
216 168 43
136 230 119
137 88 122
195 204 87
98 16 1
139 128 276
66 69 7
123 0 219
89 89 278
243 137 101
225 225 285
179 68 257
92 85 25
150 255 68
219 229 295
24 164 227
147 247 131
44 248 23
150 148 190
122 209 113
80 9 272
56 20 35
216 209 87
249 167 24
68 73 48
111 189 156
103 240 32
105 217 156
243 68 4
40 246 33
67 75 48
34 17 182
20 205 149
237 142 276
248 114 7
219 83 200
105 183 287
211 86 93
169 9 4
113 45 198
253 42 79
245 219 50
142 5 1
140 95 73
20 123 259
108 179 36
172 154 254
73 196 118
111 48 231
95 59 27
245 168 51
200 103 220
176 37 40
33 237 231
128 106 55
206 205 180
23 108 41
160 189 235
27 169 5
144 141 79
140 44 262
196 74 292
75 123 234
190 75 194
163 55 142
247 97 36
174 73 70
26 106 265
201 165 145
52 95 116
45 229 209
236 11 33
187 132 294
248 152 199
26 56 282
102 232 17
221 214 240
190 125 249
26 206 255
53 218 208
163 128 135
83 161 260
59 62 91
218 130 263
86 15 227
7 57 231
142 212 25
197 4 257
80 123 149
222 213 125
62 122 222
13 55 64
227 179 233
136 127 45
210 4 25
37 19 130
209 61 81
247 148 137
114 227 292
31 9 192
33 35 59
93 64 288
148 73 206
136 254 188
234 77 107
242 148 165
250 84 245
22 59 133
