1024 1047
511 964 73
690 884 271
628 411 77
270 482 56
840 125 127
40 752 276
716 948 154
318 787 50
130 836 189
595 4 190
873 719 245
786 20 239
59 5 177
990 691 123
451 367 237
552 812 212
891 763 288
425 30 114
140 640 60
262 491 184
576 620 244
391 295 223
335 750 191
847 715 276
367 641 72
522 356 261
266 128 81
919 100 173
669 746 205
615 108 65
559 850 129
1018 774 9
255 840 298
321 140 65
464 66 5
728 293 15
506 164 194
10 521 98
495 387 66
37 786 188
952 675 142
940 83 73
577 937 261
645 7 118
318 864 201
587 284 54
297 1004 2
891 855 103
338 583 81
61 1007 63
434 234 65
391 984 84
991 718 36
857 903 199
34 537 259
67 473 152
810 992 263
157 368 61
655 173 185
691 494 230
779 700 220
137 637 188
459 181 36
504 197 182
318 817 150
213 87 182
515 992 287
660 929 159
934 783 122
636 661 239
736 123 40
83 528 30
710 385 57
378 302 52
304 943 203
902 681 238
285 214 25
982 645 133
694 947 106
676 440 262
176 949 14
543 383 31
977 544 183
774 373 175
136 525 90
884 555 171
447 964 300
71 775 107
991 857 206
819 755 19
758 652 160
107 850 100
549 990 27
345 337 263
638 283 27
458 138 277
1001 353 100
766 372 1
559 773 259
632 271 140
906 813 21
270 721 293
167 854 159
780 541 60
387 1023 114
137 669 29
262 552 62
588 569 82
585 316 231
49 323 221
968 544 153
289 117 215
340 814 200
394 102 39
782 113 181
853 184 265
437 492 106
322 603 250
655 158 179
825 483 60
288 479 160
348 567 5
286 96 242
142 189 160
686 730 255
116 372 267
516 370 244
33 253 169
392 985 80
748 505 238
864 521 38
75 334 58
520 556 213
844 82 269
180 174 254
514 740 3
647 570 264
601 685 231
278 187 126
67 703 229
261 302 73
882 890 261
177 740 34
55 105 257
2 664 246
172 842 184
155 61 4
31 887 298
1007 601 108
443 153 81
169 399 120
736 842 140
578 573 69
108 835 222
61 826 175
297 276 30
93 869 65
995 661 171
26 182 5
434 778 66
45 214 232
374 530 13
738 220 299
504 1011 221
12 813 156
443 736 242
179 99 160
827 879 82
614 831 16
136 165 2
590 359 120
264 366 193
401 8 245
473 837 163
881 518 282
834 499 269
812 127 157
64 531 269
1003 1016 83
317 500 206
533 527 192
466 616 228
740 573 43
634 672 161
715 78 86
310 346 239
152 750 208
790 794 106
659 379 163
790 865 261
315 721 19
750 207 77
17 907 61
474 829 163
985 192 3
294 862 261
931 967 16
836 686 26
82 695 2
976 57 266
725 24 33
101 602 11
787 1014 31
508 266 180
236 686 105
400 949 165
1012 797 157
83 901 209
247 599 61
487 949 230
561 806 126
282 1015 173
179 640 174
614 639 114
739 63 243
39 568 38
965 860 166
256 936 74
2 120 40
17 658 116
180 345 103
736 308 210
478 937 286
268 336 213
143 876 202
297 553 46
541 1021 220
1007 334 261
936 736 64
790 5 118
277 791 212
893 899 30
938 240 28
191 424 120
475 211 127
621 328 191
586 44 63
84 195 55
983 953 271
293 1019 277
177 82 37
51 420 191
540 586 105
309 614 10
916 284 142
917 349 129
41 258 193
542 267 24
501 390 119
940 268 40
22 211 155
111 875 67
555 63 283
92 444 221
59 103 121
615 749 251
895 10 44
619 318 116
93 398 132
159 763 123
162 991 143
255 576 13
556 160 17
771 489 254
968 577 152
999 21 187
147 872 156
591 836 123
798 554 69
796 27 218
937 770 47
617 687 224
410 200 141
609 749 268
477 449 297
170 860 263
866 998 61
406 65 226
563 105 53
449 949 122
761 574 170
271 263 294
66 590 126
608 237 137
11 21 49
203 120 183
664 238 33
54 665 30
257 906 258
375 453 28
900 692 103
662 695 141
192 39 159
563 62 37
589 596 219
867 315 227
1004 34 50
994 652 14
705 479 279
397 231 6
978 815 81
432 206 122
957 137 22
869 854 282
288 306 127
463 241 190
362 413 88
732 722 74
382 866 145
245 130 12
910 535 119
637 688 85
831 475 57
897 980 91
395 584 44
200 746 132
598 979 36
101 539 132
15 905 111
911 477 275
415 426 34
642 438 50
354 138 171
559 272 97
245 243 207
142 42 159
402 260 284
1003 931 104
347 413 105
725 844 239
116 98 163
489 352 69
802 192 129
49 1004 111
628 82 296
992 930 148
630 705 256
798 963 83
782 109 237
42 444 60
1001 977 59
79 341 249
1022 889 51
639 977 259
754 65 68
417 926 43
537 361 21
943 756 194
743 713 219
543 984 103
484 201 76
964 405 121
220 346 36
89 41 22
151 905 202
456 884 237
319 891 19
578 177 218
342 236 229
275 256 174
635 547 90
416 1003 273
1003 458 128
374 156 256
536 840 92
158 1022 260
527 524 145
619 167 105
403 123 58
269 46 261
53 759 121
701 437 210
865 969 211
382 493 214
924 122 52
833 276 267
952 151 254
331 220 178
649 76 129
61 919 193
4 185 208
612 141 57
853 415 139
21 891 96
547 750 149
858 619 216
966 764 167
467 608 14
531 369 271
0 406 171
34 265 222
565 145 244
840 784 125
684 393 217
13 965 11
928 956 294
682 481 94
579 356 98
10 384 48
251 509 193
914 251 141
777 345 291
127 750 182
355 815 6
409 537 214
56 513 78
255 238 187
999 673 262
353 27 256
450 978 229
768 671 249
596 917 243
147 195 190
705 468 130
502 415 259
687 109 113
539 226 92
791 953 101
523 620 39
515 266 188
226 984 202
914 427 222
912 536 222
21 227 278
946 833 69
757 288 245
410 106 202
719 157 257
776 999 154
286 406 252
1009 566 207
468 179 277
636 440 288
363 19 197
281 660 283
650 27 249
408 260 174
39 702 74
106 181 292
881 537 55
887 508 293
784 310 134
514 687 4
436 811 122
1003 290 121
137 758 265
143 896 35
774 381 55
606 301 290
181 411 191
689 770 208
392 151 115
464 546 74
232 48 54
572 855 138
571 1016 129
479 704 246
832 508 119
300 841 179
150 597 76
890 611 150
835 846 48
964 73 104
717 1020 257
620 493 152
367 454 59
598 851 152
323 294 107
57 212 76
106 530 294
503 140 71
197 297 287
431 598 214
151 1016 151
786 887 158
189 338 155
852 451 64
104 970 71
629 461 280
384 452 150
406 301 155
1020 742 164
564 728 16
99 210 59
131 943 118
923 917 52
951 748 70
294 452 20
591 134 133
903 83 81
1005 1004 210
636 187 150
248 842 245
545 404 27
980 114 76
228 418 59
545 773 56
737 261 86
398 333 66
606 878 180
725 955 233
664 607 21
208 405 283
645 349 289
317 573 126
218 556 262
782 787 68
701 782 210
806 945 89
236 361 260
377 455 226
629 757 55
508 553 222
280 867 211
637 62 54
970 97 292
543 408 22
739 928 184
119 13 234
847 731 48
998 76 86
667 518 117
286 966 170
342 247 249
595 143 67
459 935 180
46 330 222
551 67 61
241 173 173
372 456 232
326 475 204
927 188 184
523 266 267
814 151 8
353 405 281
190 827 269
277 723 262
117 799 45
83 945 13
979 692 291
397 840 195
514 728 151
71 639 68
642 699 198
60 97 139
275 534 248
104 762 87
931 651 210
610 723 270
514 245 209
982 209 102
770 371 96
470 631 288
1016 897 50
605 417 170
312 269 227
529 266 260
47 982 49
389 952 204
1012 325 103
24 618 110
987 836 111
399 770 94
763 75 90
687 445 280
371 694 267
153 480 173
623 671 164
773 388 193
589 136 207
170 245 1
111 325 165
236 849 162
875 900 125
859 550 99
561 724 137
190 693 23
767 46 72
145 372 250
