256 65280
74 154 256
174 140 232
130 5 78
245 1 292
58 234 146
109 246 80
201 186 230
45 39 242
118 217 178
72 3 230
127 122 158
233 105 76
221 215 149
60 107 108
70 28 206
34 43 193
189 102 73
27 110 23
170 232 126
210 155 290
52 202 28
63 62 14
223 46 253
154 35 153
116 200 263
179 58 13
95 36 292
136 64 28
229 110 186
187 216 27
194 15 193
222 139 263
219 28 26
121 188 189
64 20 259
135 44 203
100 10 158
174 123 79
207 45 126
165 220 148
54 202 272
252 174 289
130 153 248
29 114 138
100 43 288
66 241 67
155 91 3
235 88 193
77 122 2
243 102 161
211 206 283
50 97 299
223 226 196
192 222 174
159 226 32
144 95 91
131 138 91
74 83 204
191 179 120
230 106 151
64 216 295
233 173 34
100 62 126
128 179 210
169 38 86
178 169 170
254 131 230
42 126 181
247 216 166
168 169 111
32 31 82
81 101 276
85 124 36
167 91 98
214 1 24
250 20 34
30 225 37
243 231 100
185 115 178
86 49 158
23 38 16
72 133 36
98 141 291
185 130 280
63 53 78
47 227 80
233 181 43
17 167 16
44 74 261
80 107 23
177 81 74
108 20 248
218 120 9
246 61 114
18 144 16
191 128 25
118 184 95
200 31 247
101 221 9
235 86 261
16 231 185
99 58 97
50 247 22
138 196 36
166 119 234
45 95 184
236 168 239
123 42 133
104 229 287
239 3 108
11 106 71
232 118 258
38 129 102
216 42 175
47 181 258
18 147 5
234 127 246
79 180 260
122 32 58
205 80 131
44 118 51
202 48 39
48 119 200
88 140 241
50 158 272
52 136 80
210 38 208
18 12 69
147 113 295
235 37 113
87 18 195
155 188 263
155 118 58
119 14 235
73 250 118
154 71 290
56 132 201
218 35 104
196 248 125
69 237 295
228 189 157
159 86 263
230 144 218
98 218 275
8 6 76
223 11 255
128 107 56
195 142 282
49 229 97
97 81 66
12 65 211
126 202 59
85 38 288
80 37 270
98 209 1
238 165 131
39 178 91
70 230 33
120 230 88
39 92 155
168 225 88
2 252 29
69 121 280
155 139 85
199 158 275
76 5 300
68 18 76
152 232 169
119 187 234
129 17 290
10 30 17
192 1 208
27 93 121
13 144 25
40 79 182
107 51 213
45 191 73
122 83 262
156 55 230
230 5 48
234 111 238
197 54 121
218 40 252
83 46 75
124 94 69
242 57 241
