128 1625
90 5 108
84 122 219
111 52 168
83 99 239
6 60 35
83 76 64
123 17 152
92 2 221
72 6 25
24 88 28
53 11 165
116 57 212
71 1 231
82 120 55
125 81 119
30 120 170
39 104 288
45 120 247
5 65 288
111 38 34
4 21 151
5 56 202
127 83 26
45 60 136
15 19 63
82 92 212
32 126 115
123 39 219
77 11 266
18 123 66
38 122 259
22 105 137
16 9 228
32 70 21
125 73 129
53 112 153
75 3 59
52 109 113
105 88 190
75 64 257
104 118 132
108 78 78
93 62 32
100 28 54
21 81 264
71 68 298
13 17 234
22 12 246
12 123 57
83 31 55
86 67 225
81 69 116
99 102 100
65 58 205
68 4 190
53 74 103
11 92 300
102 101 268
108 99 244
105 4 108
47 64 30
60 29 256
121 31 186
102 82 146
31 15 135
123 122 187
0 7 54
63 32 178
8 95 56
113 35 250
78 27 276
6 50 156
9 120 157
63 100 288
99 38 173
17 14 18
23 46 117
49 23 264
99 4 216
85 65 175
102 22 234
121 40 39
125 90 236
34 43 271
36 74 120
102 8 162
3 106 237
33 115 66
86 4 80
40 63 54
66 102 28
123 6 299
63 49 295
98 68 294
49 15 202
37 70 211
66 56 114
68 54 194
86 64 221
21 9 43
56 64 13
49 124 95
7 28 182
119 95 299
121 122 64
89 96 26
24 127 200
66 61 169
53 106 265
105 97 285
79 119 198
115 95 6
61 15 52
120 68 296
43 101 191
27 117 240
42 8 298
45 76 214
93 96 206
21 21 226
23 15 89
56 90 46
94 35 29
100 78 273
111 13 161
20 12 270
58 63 108
45 111 292
116 102 175
124 75 206
100 22 115
100 121 91
115 87 295
19 103 232
99 56 289
115 62 104
58 124 197
38 107 16
60 15 138
89 67 97
80 52 254
2 54 78
83 18 8
116 95 148
94 63 269
34 69 54
71 69 242
122 123 26
59 113 16
77 113 105
118 109 159
66 91 101
30 57 256
61 9 96
53 75 68
97 110 165
9 36 150
1 75 106
69 29 69
11 58 152
22 55 234
42 94 19
97 50 22
85 42 177
45 102 149
69 89 128
80 93 80
44 115 28
2 120 216
23 13 219
11 93 198
119 51 172
98 33 58
15 44 90
43 94 151
73 70 240
9 93 168
40 47 291
11 35 286
117 60 182
68 92 212
57 97 131
8 51 137
77 99 174
86 124 215
105 107 200
119 115 76
100 3 83
86 54 84
61 42 90
107 121 194
94 81 127
69 4 51
74 90 135
72 38 9
68 79 20
64 3 195
69 17 159
122 44 47
123 92 77
21 114 164
10 121 79
90 95 60
52 97 159
120 101 89
28 22 25
1 78 216
91 14 138
17 104 250
79 83 272
26 60 267
100 100 287
68 62 198
96 57 95
108 52 44
4 12 238
64 68 248
27 3 95
108 60 258
29 25 139
71 81 284
112 103 218
75 112 265
0 60 136
67 45 21
48 103 219
109 36 192
105 41 292
35 2 195
71 7 225
21 49 28
36 60 132
69 66 201
113 112 65
98 122 18
97 78 91
19 4 4
88 49 243
89 35 148
98 63 142
77 120 103
14 53 42
13 38 191
20 48 258
119 14 29
66 11 280
79 55 171
82 116 294
125 119 211
13 10 3
79 59 227
15 13 287
73 125 202
45 62 247
72 125 15
18 65 211
15 34 154
99 16 69
38 48 92
5 62 78
63 121 182
90 90 38
95 13 213
1 117 208
97 88 4
60 11 67
35 43 264
46 118 88
10 98 153
85 3 220
40 70 288
41 29 213
34 110 50
114 92 225
21 112 10
12 115 216
40 76 49
43 88 153
14 102 287
77 30 118
69 64 6
20 122 244
118 66 33
106 46 272
16 116 70
126 36 255
77 98 295
93 59 14
5 43 210
2 103 2
125 127 256
11 42 180
81 85 38
56 23 41
113 60 76
121 98 116
98 126 158
10 37 145
97 115 133
97 42 32
33 91 30
15 107 291
63 26 292
94 104 19
79 127 81
114 107 55
116 101 175
6 117 217
67 60 248
