512 2616
49 399 229
461 396 36
80 450 154
237 186 259
318 432 149
373 169 166
71 89 242
148 223 10
287 484 118
248 38 273
372 81 85
223 337 282
351 457 159
295 107 131
337 371 215
74 68 292
300 209 144
189 51 250
118 76 114
59 408 188
248 303 20
98 484 182
300 377 157
318 248 168
482 12 8
10 198 75
235 269 259
238 353 57
2 44 269
208 395 93
252 146 11
318 136 195
297 253 150
308 11 213
339 419 49
80 236 82
93 48 40
404 347 237
420 134 78
248 360 44
482 87 96
274 123 216
404 191 106
304 180 29
19 506 131
495 116 87
205 110 207
166 275 111
138 160 97
400 48 208
174 397 219
449 338 102
307 301 168
58 340 145
202 35 190
412 131 280
290 156 284
387 415 2
218 322 76
10 234 67
390 169 235
291 418 213
290 297 1
200 110 15
91 225 207
351 436 138
471 105 179
312 470 159
210 362 272
321 77 83
236 69 291
173 397 167
148 77 21
390 214 189
472 243 102
431 456 229
356 124 295
464 106 97
199 389 75
178 490 54
313 288 40
425 143 75
103 63 109
363 320 101
82 156 122
120 132 265
485 277 38
490 327 246
271 232 192
166 103 260
431 283 2
422 281 119
375 275 27
398 264 80
152 168 270
162 463 153
375 337 51
498 40 242
471 233 93
43 252 78
31 277 73
58 286 104
211 123 265
62 455 148
475 34 256
120 478 283
406 160 237
52 436 214
339 449 39
79 405 233
135 414 279
495 107 262
374 164 37
312 253 3
201 118 33
466 487 183
283 162 164
143 414 230
31 262 48
231 495 81
53 140 185
478 418 287
427 384 184
76 53 271
317 279 150
331 178 163
271 130 32
400 163 69
443 129 63
167 305 297
330 359 166
242 424 243
507 199 270
275 143 291
345 383 32
332 331 247
387 9 165
448 164 229
30 469 117
264 73 263
447 417 43
348 284 242
229 477 207
252 263 286
212 109 91
72 125 140
493 215 238
128 472 66
505 396 273
391 256 75
202 215 182
112 460 50
128 485 146
218 194 185
215 468 2
57 24 274
359 43 46
479 9 90
279 313 188
391 271 196
383 480 38
97 94 271
26 326 154
337 154 50
139 129 17
367 199 185
325 184 271
360 275 194
38 214 181
130 285 256
27 154 120
39 425 138
127 146 179
447 122 101
69 92 66
239 153 86
38 418 94
197 488 282
89 260 72
56 251 248
61 48 53
400 25 49
288 363 194
202 437 11
414 431 292
242 486 140
343 45 156
258 214 219
310 128 217
197 89 108
62 304 210
80 45 161
313 182 161
478 299 176
506 503 129
143 426 51
353 161 29
179 387 30
471 100 147
392 338 124
252 37 60
26 490 185
412 386 261
277 165 90
279 11 259
453 165 78
411 212 217
276 301 63
87 350 267
409 130 41
493 199 67
381 347 194
425 45 184
400 438 91
62 278 1
17 196 139
266 353 279
97 107 127
483 510 159
337 412 88
312 158 265
215 112 278
433 214 21
40 389 97
239 342 207
262 196 92
285 25 292
197 124 145
92 58 70
47 322 85
457 113 184
313 73 10
234 187 157
364 114 161
443 50 156
52 230 138
255 281 115
289 240 88
363 17 288
21 226 153
310 189 194
483 422 138
298 241 232
106 115 256
338 34 270
433 190 234
474 416 111
212 510 159
211 351 230
348 335 90
351 69 226
417 220 227
501 164 84
107 377 300
