512 26163
447 202 251
390 356 192
301 390 102
82 213 169
282 484 296
311 276 151
386 262 113
254 311 102
52 68 271
122 41 163
494 443 168
72 181 1
491 471 258
7 332 219
440 452 132
463 266 109
477 185 293
62 229 139
203 65 173
354 174 71
467 80 241
492 328 171
216 412 210
15 356 35
140 460 272
50 178 223
8 24 290
374 361 151
363 297 292
58 106 243
113 451 230
375 22 295
429 237 102
471 263 146
92 120 9
281 360 65
190 279 160
129 114 128
127 146 93
428 511 130
481 459 243
117 99 9
55 196 79
425 149 61
32 336 154
165 230 211
227 481 246
220 102 74
474 252 103
113 380 275
499 261 277
380 10 192
423 286 65
87 358 113
158 434 211
24 358 1
348 197 45
223 423 142
183 120 232
459 170 248
122 171 202
281 507 24
135 184 137
61 261 246
258 90 111
332 2 102
400 420 94
473 454 85
346 396 219
240 382 209
269 351 169
0 175 58
199 137 76
147 88 132
162 34 264
144 263 93
250 462 122
324 154 95
395 131 266
29 270 3
109 274 243
9 205 291
109 283 134
420 469 235
54 346 191
291 51 270
495 221 129
37 163 47
434 124 85
467 61 44
482 254 106
222 244 71
205 455 254
129 479 112
182 435 142
203 62 51
159 71 135
176 178 184
136 199 166
501 79 171
33 392 170
128 200 269
493 17 237
499 304 131
136 470 226
476 392 164
231 364 105
187 454 145
369 367 96
29 111 157
387 27 246
255 43 155
14 107 298
11 438 262
149 222 131
283 400 198
323 121 155
7 491 119
68 444 197
271 231 246
19 213 141
444 67 62
103 277 219
404 492 123
256 382 18
102 214 10
213 276 95
276 16 250
186 346 290
74 301 221
208 332 184
111 505 57
365 340 250
462 361 86
355 423 124
173 159 268
126 130 226
354 2 177
23 408 205
301 278 125
333 406 277
362 348 175
321 311 48
191 363 159
507 324 191
108 253 211
483 391 120
210 172 67
145 221 5
434 225 207
315 198 283
452 463 24
344 261 84
166 465 190
413 324 79
264 51 174
111 235 123
199 90 31
100 259 249
424 85 226
51 406 147
376 77 235
354 64 192
266 21 256
307 437 105
435 166 229
280 458 195
467 178 57
147 296 132
140 183 280
413 9 137
135 108 181
499 441 82
92 153 25
313 30 21
493 225 150
200 468 15
244 25 103
508 61 78
362 461 115
57 117 13
283 155 147
274 293 242
111 474 108
288 8 63
370 447 218
305 319 123
171 238 174
68 306 298
73 448 218
484 375 144
485 347 47
277 140 166
163 258 284
495 80 150
237 458 124
509 129 25
12 334 178
500 500 170
59 304 19
8 139 291
380 221 267
166 348 159
167 406 300
130 32 141
274 341 12
497 259 173
277 448 240
412 330 205
6 467 115
230 177 296
63 325 178
272 275 15
400 34 231
169 483 92
127 277 199
432 167 105
231 176 264
212 311 14
297 340 252
352 206 41
327 338 56
108 85 208
217 315 46
335 216 124
148 256 203
191 183 290
467 94 197
386 99 212
204 444 252
259 106 33
269 152 130
302 258 196
142 355 156
228 247 194
151 360 76
61 395 120
140 487 192
475 465 243
397 261 186
284 392 155
60 440 108
356 41 110
130 481 96
42 350 135
122 136 231
1 124 43
157 117 204
72 4 95
349 436 178
217 343 80
283 310 96
16 334 66
98 81 193
132 175 260
456 134 278
154 491 65
23 434 240
63 43 145
205 312 259
453 207 24
55 406 264
83 24 95
79 225 149
280 483 62
493 376 170
443 68 210
448 232 60
83 199 97
400 365 93
500 150 80
374 244 251
271 180 141
476 348 8
107 8 257
339 233 173
93 382 81
476 151 46
70 445 59
393 194 239
230 432 205
5 375 39
171 141 261
124 401 18
153 124 271
388 239 200
325 16 25
349 354 227
149 283 128
260 142 47
298 196 290
381 169 98
462 279 36
355 57 249
222 66 277
469 353 248
51 5 74
72 293 161
202 177 84
359 3 75
492 291 145
401 220 270
25 384 53
480 130 264
432 399 284
299 113 13
193 212 59
498 108 137
232 100 229
144 183 109
76 9 230
234 54 37
129 78 198
195 255 212
45 377 42
501 30 54
406 492 174
99 312 58
177 243 211
134 506 62
13 255 82
412 432 173
82 472 154
237 116 234
244 430 79
494 213 12
109 275 19
420 215 183
219 70 71
414 251 142
217 357 94
382 184 11
399 220 41
138 131 244
46 377 263
30 411 64
437 402 204
150 172 246
441 176 99
237 201 152
34 197 235
315 12 111
159 496 295
249 433 118
173 443 246
429 261 155
244 167 106
231 229 104
285 506 225
378 497 75
89 326 198
509 344 266
127 19 262
317 458 140
277 216 155
228 283 67
433 149 231
498 322 45
131 3 121
184 143 227
219 278 254
291 459 171
39 431 179
432 463 186
219 103 64
217 259 251
254 96 117
318 332 60
2 477 68
440 131 275
16 84 10
353 122 150
316 184 24
248 440 73
7 36 249
37 149 84
443 454 202
284 220 46
105 250 165
323 210 156
457 295 106
128 100 111
317 14 170
369 421 112
199 424 169
378 105 46
362 33 251
204 232 76
278 498 179
298 132 215
325 278 115
310 435 44
225 20 62
324 374 142
285 307 88
450 18 237
397 429 225
12 179 2
473 468 273
173 210 203
20 487 100
56 436 108
502 379 225
321 292 222
23 262 258
195 348 75
407 457 261
404 64 121
71 110 250
344 483 151
460 339 116
48 74 285
134 239 127
340 34 13
494 293 86
359 192 247
511 32 74
131 395 34
145 206 58
282 450 231
450 466 106
93 504 183
363 506 96
265 437 277
231 181 40
187 467 146
93 205 171
58 253 224
220 43 50
433 127 10
1 417 257
266 132 245
30 255 217
388 166 278
296 465 73
426 232 153
42 286 90
152 453 212
314 24 255
410 50 5
307 169 261
225 149 252
277 115 14
116 199 61
51 253 274
103 435 49
504 11 231
184 65 236
407 367 130
489 383 144
364 122 138
74 188 230
375 17 246
508 68 77
43 507 173
487 224 218
138 236 271
459 156 242
317 299 215
80 0 215
35 263 17
281 300 294
204 191 203
26 423 47
466 404 119
97 407 299
61 342 90
58 242 224
381 179 92
340 202 185
450 101 110
273 450 191
284 187 64
82 37 36
447 18 143
427 111 110
30 461 110
414 320 141
395 222 141
193 473 57
408 231 49
197 36 36
372 3 113
95 103 286
59 368 134
248 236 105
44 462 294
451 9 103
83 230 40
135 377 29
407 44 284
42 310 46
486 508 272
281 26 224
398 502 19
238 28 120
225 329 29
345 158 1
11 316 130
124 81 237
181 7 117
71 353 126
379 376 15
159 138 199
60 271 278
215 422 283
105 61 75
331 182 94
70 442 106
176 33 247
96 94 44
318 276 121
29 341 274
42 116 286
337 74 82
490 232 272
10 213 158
119 65 299
167 100 285
247 203 178
320 273 72
10 494 111
99 163 141
28 69 30
194 116 53
71 268 119
300 247 292
48 205 16
258 382 39
47 65 235
85 11 161
301 482 135
391 225 3
62 325 219
229 106 170
447 161 175
73 466 162
103 474 299
106 246 247
118 372 160
505 110 63
234 21 291
197 383 17
254 92 125
252 346 11
22 483 277
420 209 250
32 434 254
4 37 172
110 183 116
245 119 24
384 394 222
5 56 172
397 153 194
469 246 171
212 99 14
22 463 300
11 417 277
140 244 216
181 136 127
289 79 257
442 386 172
125 376 76
41 42 155
501 118 55
6 508 47
153 42 39
396 492 181
472 91 279
43 377 282
340 21 218
309 222 207
208 371 59
194 402 119
247 46 4
