256 6528
62 217 57
221 253 291
199 248 232
86 160 18
122 155 237
222 38 8
182 195 237
215 36 77
135 119 253
133 166 212
236 120 118
83 102 241
149 111 143
229 11 194
230 208 43
18 134 99
14 46 292
41 180 136
95 104 175
196 120 41
169 235 63
241 173 212
95 191 87
108 174 286
76 191 139
216 243 58
81 191 280
104 215 85
252 179 278
221 159 219
206 228 253
71 124 83
223 185 183
149 78 56
17 18 214
109 163 85
162 36 275
81 96 293
141 217 296
132 23 168
112 65 17
191 134 96
115 215 126
166 242 96
79 183 235
242 26 30
246 30 246
153 35 3
66 150 169
193 21 82
19 238 233
211 25 56
105 244 248
81 89 14
212 253 70
179 75 278
188 86 228
248 180 78
199 157 161
198 40 224
21 48 243
229 79 27
231 168 228
178 141 272
32 58 235
66 135 189
26 58 220
87 68 171
83 67 203
2 181 34
225 15 281
3 69 269
185 170 42
48 237 108
132 240 160
165 103 133
232 15 132
23 238 57
142 22 201
31 235 21
81 59 261
192 6 246
224 115 162
73 11 211
223 159 253
144 54 157
140 187 264
149 71 192
128 197 103
144 216 252
147 27 72
118 91 186
209 30 208
151 249 39
88 109 143
32 246 285
181 64 186
195 173 70
250 200 241
209 249 176
79 66 202
128 9 120
139 43 249
44 96 69
78 192 50
164 246 150
225 197 219
235 186 199
160 25 78
56 54 14
128 189 131
32 35 4
45 203 43
84 204 84
62 236 200
155 51 106
72 93 197
205 117 58
153 254 213
113 66 231
218 20 199
234 76 92
206 21 256
79 223 11
250 17 85
43 218 72
127 18 101
207 204 22
158 227 280
212 193 208
113 67 284
40 47 296
84 131 126
255 135 153
203 23 167
29 175 140
160 236 224
32 81 175
159 133 260
164 193 54
229 232 51
226 5 127
245 242 284
50 78 288
76 66 67
243 200 249
129 31 150
148 90 64
22 4 299
159 47 60
100 61 151
127 182 20
94 191 91
186 66 141
36 110 298
235 146 189
129 114 3
152 217 12
45 160 156
68 65 255
252 114 61
92 181 190
207 82 114
119 239 278
96 194 197
46 93 43
226 172 140
3 225 199
132 193 97
123 110 188
150 154 187
70 89 42
72 30 280
37 82 17
198 123 40
42 49 178
210 122 292
21 76 120
190 89 1
210 2 163
247 152 42
128 252 169
116 14 239
53 161 92
215 71 248
75 190 177
234 217 226
77 155 2
201 193 230
61 164 107
5 137 72
153 176 299
239 77 185
59 188 92
63 126 218
201 24 181
90 152 199
211 56 23
194 114 209
195 144 289
192 56 200
12 113 159
118 245 71
22 208 3
122 81 291
119 57 40
14 149 54
204 48 166
136 253 186
244 62 148
120 222 295
222 178 45
99 19 64
83 176 128
43 31 280
211 203 286
222 106 84
48 53 91
78 28 263
113 163 73
136 70 260
202 51 129
114 163 46
32 88 61
185 39 176
239 189 32
62 191 76
152 137 131
200 81 161
234 84 252
50 126 279
118 27 245
74 161 103
222 121 130
202 148 266
253 218 271
5 70 122
68 109 101
255 64 242
147 198 52
238 53 145
156 155 208
50 228 104
17 172 184
181 47 285
218 160 299
194 143 82
226 246 257
67 236 225
40 168 261
80 192 22
183 96 169
68 182 4
226 174 207
10 24 172
108 198 195
109 96 71
208 189 39
80 118 56
154 190 270
239 169 45
156 95 52
93 251 197
174 69 191
128 207 49
226 159 278
164 186 213
248 31 262
63 59 178
97 35 295
58 16 242
72 42 149
48 17 19
217 14 13
233 45 82
198 213 5
55 15 138
133 221 71
71 54 45
159 235 86
19 13 100
86 41 294
8 203 76
90 82 101
254 13 167
131 245 284
235 207 19
69 161 193
19 102 183
172 46 18
220 215 34
69 208 176
254 122 270
80 67 151
249 54 249
119 147 17
253 99 290
63 87 33
253 169 157
207 106 139
50 62 259
112 183 290
143 225 219
88 45 104
175 192 128
93 62 187
228 203 95
130 79 195
212 56 243
216 60 219
92 150 162
87 114 79
231 175 279
189 218 68
183 133 106
66 185 151
148 71 100
53 4 88
181 205 115
251 103 268
93 127 131
0 18 167
71 238 62
253 178 70
22 42 146
171 16 267
148 19 286
158 237 137
170 100 135
22 163 73
153 72 251
123 101 91
165 135 109
151 148 159
148 216 195
190 210 9
54 113 238
151 55 66
65 72 61
182 186 255
205 86 148
58 232 103
82 200 85
94 84 58
135 91 104
121 132 250
70 142 238
58 114 41
237 140 33
174 136 276
62 80 175
120 102 86
24 145 235
196 151 71
244 97 104
60 178 279
205 52 255
202 224 106
1 147 150
197 50 297
76 59 299
35 145 87
35 67 93
171 221 178
206 76 243
0 208 65
222 133 122
19 8 252
252 7 203
79 166 86
194 217 66
38 80 9
106 101 144
121 7 48
65 123 161
30 214 258
190 37 147
149 108 267
92 229 130
171 6 227
137 161 208
19 218 39
166 220 187
56 162 73
38 167 80
188 95 34
72 250 144
15 146 249
113 221 190
238 150 272
125 32 233
70 14 180
1 86 71
180 206 139
177 219 117
139 0 196
26 179 26
176 242 296
76 169 171
83 17 213
251 72 166
137 132 39
109 44 176
95 96 93
41 200 213
134 230 237
152 109 95
176 75 167
226 231 110
14 239 277
178 98 16
68 111 67
236 41 10
73 251 90
62 163 136
181 27 112
139 179 164
201 226 251
59 148 282
113 186 1
136 143 270
35 234 284
3 32 288
101 154 287
45 228 50
144 165 137
49 242 241
64 17 80
163 67 58
58 116 137
236 44 75
205 20 72
20 17 280
47 147 221
108 73 293
222 156 118
244 215 197
225 68 151
163 239 46
133 41 54
134 92 71
118 85 78
253 47 78
50 29 266
114 53 299
226 239 164
203 211 169
188 3 31
14 10 38
201 115 28
239 214 158
11 8 282
25 106 201
90 62 274
106 71 51
75 73 200
90 46 168
58 13 29
66 195 299
169 21 78
188 108 115
190 104 203
250 166 29
189 81 106
137 1 119
250 74 144
190 10 7
60 192 157
214 76 252
65 35 153
142 242 47
147 37 293
232 156 257
192 110 283
15 171 14
71 176 287
251 153 175
20 27 38
161 81 215
43 92 178
232 33 11
112 103 176
213 64 257
196 176 286
42 124 69
120 214 279
173 51 93
81 151 17
134 14 181
31 50 146
241 219 233
215 254 148
35 151 120
194 220 227
121 30 206
20 133 134
68 36 221
38 153 191
41 162 177
16 19 85
175 35 88
235 172 239
94 12 45
155 220 90
131 108 101
171 112 225
150 73 118
163 235 232
0 155 201
81 2 175
25 78 146
167 124 165
4 6 48
176 219 122
213 21 229
186 191 266
12 39 43
214 204 158
242 203 210
21 10 244
101 4 229
42 1 114
229 186 229
197 197 248
81 68 247
94 100 264
230 99 265
242 244 275
113 24 238
102 15 96
252 197 118
213 67 211
107 109 107
62 171 26
101 17 181
242 135 24
91 241 261
90 141 214
15 224 232
90 98 26
133 100 278
236 3 83
220 74 225
180 252 284
83 19 254
32 158 44
0 148 23
18 171 225
222 58 103
191 103 267
203 230 163
220 242 275
23 99 45
53 51 263
112 177 2
204 10 35
114 180 158
65 93 142
123 143 239
67 157 191
230 49 72
162 230 241
22 212 28
134 25 271
57 134 15
252 19 97
174 163 178
96 45 127
123 68 91
137 211 151
89 243 2
154 92 133
107 191 258
85 127 47
141 245 225
191 143 24
170 98 217
235 185 300
82 8 263
38 141 96
215 43 8
89 54 7
47 174 196
201 123 101
196 34 56
231 94 271
8 116 171
87 163 104
118 166 278
2 91 26
155 44 111
22 20 190
225 29 13
248 106 256
184 174 150
64 133 244
